Vehicle ID,Type,Latitude,Longitude
POL-1000,Police,10.7902657267154,78.70854037825282
POL-1001,Police,10.781682004344624,78.69412126632777
POL-1002,Police,10.800078118442315,78.69905613083748
POL-1003,Police,10.804361479833831,78.70431733674128
POL-1004,Police,10.774878584301078,78.70287390641373
POL-1005,Police,10.778822908327093,78.70500305366546
POL-1006,Police,10.79396081181124,78.71502036235833
POL-1007,Police,10.789677395540053,78.72290089915191
POL-1008,Police,10.781022493449884,78.71905136541373
POL-1009,Police,10.801646808597155,78.70663446989316
AMB-2000,Ambulance,10.805725949646465,78.72025670988097
AMB-2001,Ambulance,10.793602523498706,78.69693087816273
AMB-2002,Ambulance,10.793556689478276,78.70723536922864
AMB-2003,Ambulance,10.773434051905355,78.69606574973545
AMB-2004,Ambulance,10.770715660326516,78.71431109789792
AMB-2005,Ambulance,10.786148719517248,78.70002279814915
FIRE-3000,Fire Truck,10.790649482399317,78.71928076799101
FIRE-3001,Fire Truck,10.804953802737625,78.70096695725196
FIRE-3002,Fire Truck,10.792874693614168,78.69690568824699
